               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.017859,           0.0053394,           0.0043782,             0.99632,             0.99328,             0.99518,             0.85917,            0.013122,           0.0040379,          0.00089166,           0.0077785,           0.0077785,           0.0077785
                 108,            0.017917,           0.0053621,           0.0044039,             0.99572,              0.9939,             0.99518,             0.86011,            0.013105,           0.0040307,          0.00089977,           0.0077409,           0.0077409,           0.0077409
                 109,            0.017877,           0.0053661,           0.0044506,             0.99604,             0.99389,             0.99516,             0.86022,            0.013107,           0.0040299,           0.0009023,           0.0077031,           0.0077031,           0.0077031
                 110,            0.017875,           0.0053597,           0.0044052,             0.99521,             0.99465,             0.99515,             0.85913,            0.013124,           0.0040309,          0.00089845,           0.0076651,           0.0076651,           0.0076651
                 111,            0.017915,           0.0053782,            0.004481,             0.99548,             0.99459,             0.99513,             0.85925,            0.013148,           0.0040383,          0.00088833,           0.0076269,           0.0076269,           0.0076269
                 112,            0.017857,           0.0053347,           0.0043533,             0.99574,             0.99486,             0.99513,             0.85904,             0.01316,           0.0040395,          0.00087736,           0.0075886,           0.0075886,           0.0075886
                 113,             0.01784,           0.0053494,           0.0043775,             0.99592,             0.99453,             0.99514,             0.85963,            0.013157,           0.0040358,          0.00087705,           0.0075501,           0.0075501,           0.0075501
                 114,            0.017852,            0.005345,           0.0044497,             0.99584,             0.99453,             0.99515,             0.85969,            0.013148,            0.004033,          0.00087122,           0.0075114,           0.0075114,           0.0075114
                 115,            0.017825,           0.0053298,           0.0043814,             0.99601,             0.99451,             0.99515,             0.85976,            0.013118,           0.0040284,           0.0008691,           0.0074725,           0.0074725,           0.0074725
                 116,            0.017807,           0.0053353,           0.0044272,               0.996,             0.99483,             0.99514,             0.86067,            0.013082,            0.004019,          0.00086905,           0.0074335,           0.0074335,           0.0074335
                 117,            0.017743,           0.0053101,           0.0043104,             0.99605,             0.99479,             0.99514,              0.8612,            0.013064,           0.0040123,          0.00086651,           0.0073943,           0.0073943,           0.0073943
                 118,            0.017763,           0.0053175,           0.0043684,             0.99622,             0.99428,             0.99515,             0.86112,            0.013049,           0.0040098,          0.00086729,            0.007355,            0.007355,            0.007355
                 119,            0.017743,           0.0053059,           0.0043395,             0.99564,             0.99474,             0.99518,             0.86166,            0.013023,           0.0040057,          0.00086034,           0.0073155,           0.0073155,           0.0073155
                 120,            0.017771,           0.0053139,           0.0043326,             0.99585,             0.99496,             0.99519,             0.86278,            0.013018,           0.0040005,          0.00085125,           0.0072758,           0.0072758,           0.0072758
                 121,            0.017743,           0.0053091,           0.0044067,             0.99546,               0.995,             0.99523,             0.86171,            0.013027,               0.004,          0.00084585,           0.0072361,           0.0072361,           0.0072361
                 122,            0.017719,           0.0053091,           0.0043233,             0.99557,             0.99527,             0.99525,             0.86163,            0.013039,           0.0040009,          0.00083882,           0.0071962,           0.0071962,           0.0071962
                 123,            0.017721,           0.0053246,            0.004418,             0.99532,             0.99521,             0.99525,             0.86132,             0.01306,           0.0040016,          0.00084255,           0.0071561,           0.0071561,           0.0071561
                 124,            0.017678,           0.0052928,           0.0042668,             0.99535,             0.99456,             0.99525,             0.86119,            0.013066,           0.0040016,          0.00085815,            0.007116,            0.007116,            0.007116
                 125,            0.017728,           0.0053121,           0.0043487,              0.9959,             0.99353,             0.99523,             0.86088,            0.013065,           0.0039992,          0.00086594,           0.0070757,           0.0070757,           0.0070757
                 126,            0.017621,           0.0052875,           0.0042578,             0.99532,             0.99417,             0.99524,             0.86126,            0.013039,           0.0039982,          0.00087848,           0.0070353,           0.0070353,           0.0070353
                 127,            0.017623,            0.005277,           0.0042316,               0.995,             0.99477,             0.99525,             0.86107,            0.013034,           0.0039971,          0.00087605,           0.0069948,           0.0069948,           0.0069948
                 128,             0.01754,           0.0052711,           0.0042483,             0.99513,             0.99502,             0.99525,             0.86056,            0.013044,            0.003996,          0.00085958,           0.0069541,           0.0069541,           0.0069541
                 129,             0.01756,           0.0052713,           0.0042561,             0.99553,             0.99468,             0.99524,             0.86038,             0.01305,           0.0039963,          0.00086945,           0.0069134,           0.0069134,           0.0069134
                 130,            0.017612,           0.0052828,           0.0042454,             0.99578,             0.99457,             0.99525,             0.86014,            0.013053,           0.0039969,          0.00084853,           0.0068726,           0.0068726,           0.0068726
                 131,            0.017569,           0.0052644,            0.004158,             0.99564,             0.99468,             0.99526,             0.85982,            0.013067,           0.0039966,           0.0008557,           0.0068316,           0.0068316,           0.0068316
                 132,            0.017532,           0.0052625,           0.0041743,             0.99552,             0.99534,             0.99528,             0.85963,            0.013081,           0.0039975,          0.00084134,           0.0067906,           0.0067906,           0.0067906
                 133,            0.017497,           0.0052477,           0.0041471,             0.99594,              0.9947,             0.99526,             0.85992,            0.013069,            0.003994,           0.0008488,           0.0067495,           0.0067495,           0.0067495
                 134,            0.017492,           0.0052457,           0.0041656,             0.99559,             0.99491,             0.99529,             0.86088,            0.013039,           0.0039881,          0.00084306,           0.0067083,           0.0067083,           0.0067083
                 135,            0.017494,           0.0052473,           0.0041773,             0.99554,             0.99518,             0.99531,             0.86152,            0.013011,           0.0039843,          0.00081897,           0.0066671,           0.0066671,           0.0066671
                 136,            0.017498,           0.0052559,           0.0042338,             0.99585,             0.99532,             0.99531,             0.86249,            0.012998,           0.0039843,           0.0008131,           0.0066257,           0.0066257,           0.0066257
                 137,            0.017474,           0.0052444,            0.004168,             0.99573,             0.99569,             0.99532,             0.86166,            0.012993,           0.0039874,           0.0008027,           0.0065843,           0.0065843,           0.0065843
                 138,            0.017431,           0.0052329,           0.0041612,              0.9951,             0.99624,             0.99533,             0.86179,            0.012984,           0.0039858,          0.00080904,           0.0065429,           0.0065429,           0.0065429
                 139,            0.017387,           0.0052283,           0.0041221,             0.99513,             0.99616,             0.99533,             0.86232,            0.012977,           0.0039846,           0.0008011,           0.0065013,           0.0065013,           0.0065013
                 140,            0.017432,            0.005238,           0.0041615,             0.99505,             0.99625,             0.99533,             0.86191,             0.01298,           0.0039823,          0.00080733,           0.0064597,           0.0064597,           0.0064597
                 141,            0.017362,           0.0052126,           0.0041138,             0.99427,             0.99693,             0.99535,               0.862,            0.012978,           0.0039794,           0.0008114,           0.0064181,           0.0064181,           0.0064181
                 142,             0.01733,           0.0052032,            0.004091,             0.99514,             0.99654,             0.99536,             0.86292,            0.012963,           0.0039747,          0.00079575,           0.0063764,           0.0063764,           0.0063764
                 143,            0.017353,           0.0052311,           0.0041541,             0.99459,             0.99639,             0.99535,             0.86285,            0.012944,           0.0039734,          0.00080814,           0.0063347,           0.0063347,           0.0063347
                 144,            0.017346,           0.0052016,           0.0040927,             0.99614,             0.99484,             0.99533,              0.8627,            0.012934,           0.0039719,          0.00083945,            0.006293,            0.006293,            0.006293
                 145,            0.017291,           0.0051854,           0.0040799,             0.99505,             0.99608,             0.99532,              0.8626,            0.012931,           0.0039657,          0.00086251,           0.0062512,           0.0062512,           0.0062512
                 146,            0.017333,           0.0052062,           0.0040416,             0.99516,             0.99604,             0.99531,             0.86287,            0.012895,           0.0039593,          0.00086797,           0.0062093,           0.0062093,           0.0062093
                 147,            0.017326,           0.0052143,           0.0040901,             0.99529,             0.99592,             0.99529,             0.86415,            0.012866,           0.0039554,          0.00086484,           0.0061675,           0.0061675,           0.0061675
                 148,            0.017258,           0.0051961,           0.0040216,              0.9952,             0.99538,             0.99528,             0.86466,            0.012833,           0.0039514,          0.00086659,           0.0061256,           0.0061256,           0.0061256
                 149,             0.01726,           0.0052194,           0.0040463,             0.99531,             0.99532,             0.99529,             0.86445,            0.012805,           0.0039497,          0.00085917,           0.0060838,           0.0060838,           0.0060838
